"sequence","asset","duration","avg_entry","cost","payout","pnl","trade_count","won"
"1","btc","5m","0.8","1.0","1.25","0.25","1","True"
"2","btc","5m","0.98","1.0094","1.03","0.02059999999999995","1","True"
"3","btc","5m","0.92","1.0028","1.09","0.08720000000000017","1","True"
"4","btc","5m","0.96","1.008","1.05","0.04200000000000004","1","True"
"5","btc","5m","0.93","0.9951","1.07","0.07490000000000008","1","True"
"6","btc","5m","0.92","1.0028","1.09","0.08720000000000017","1","True"
"7","btc","5m","0.96","2.0064","2.09","0.08359999999999967","1","True"
"8","btc","5m","0.96","2.0064","2.09","0.08359999999999967","1","True"
"9","btc","5m","0.95","2.0045","2.11","0.1054999999999997","1","True"
"10","btc","5m","0.91","1.9656","2.16","0.19440000000000013","1","True"
"11","btc","5m","0.98","1.9992","2.04","0.04079999999999995","1","True"
"12","btc","5m","0.76","1.978947","0.0","-1.978947","1","False"
"13","btc","5m","0.31","2.0026","6.46","4.4574","1","True"
"14","btc","5m","0.98","1.9992","2.04","0.04079999999999995","1","True"
"15","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"16","btc","5m","0.95","2.0045","2.11","0.1054999999999997","1","True"
"17","btc","5m","0.95","2.0045","2.11","0.1054999999999997","1","True"
"18","btc","5m","0.98","1.9992","2.04","0.04079999999999995","1","True"
"19","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"20","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"21","btc","5m","0.98","1.9992","2.04","0.04079999999999995","1","True"
"22","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"23","btc","5m","0.96","2.0064","2.09","0.08359999999999967","1","True"
"24","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"25","btc","5m","0.95","2.0045","2.11","0.1054999999999997","1","True"
"26","btc","5m","0.96","1.9776","2.06","0.08240000000000003","1","True"
"27","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"28","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
"29","btc","5m","0.85","1.751","2.06","0.30900000000000016","1","True"
"30","btc","5m","0.96","1.9776","2.06","0.08240000000000003","1","True"
"31","btc","5m","0.66","0.99","0.0","-0.99","1","False"
"32","btc","5m","0.69","1.0005","0.0","-1.0005","1","False"
"33","btc","5m","0.95","2.0045","2.11","0.1054999999999997","1","True"
"34","btc","5m","0.43","0.9374","2.18","1.2426000000000001","1","True"
"35","btc","5m","0.93","2.0088","2.16","0.15120000000000022","1","True"
"36","btc","5m","0.97","1.9982","2.06","0.06180000000000008","1","True"
